Código Candidato,Data de nascimento,Série,Unidade,Data de Inscrição,Data da matrícula,Tipo,Bolsa (%),Real Anuidade
CL0488,01/12/2015,4º ano bilíngue,Mais Cidade Nova,18/08/2024 22:46:00,25/10/2024,Rematrícula,"68,50%",17.93
CL0489,18/03/2018,2º ano,Castelo Manacás,18/8/2024 22:47:00,07/10/2024,Rematrícula,"60,00%",10.826
CL0491,,1ª série,,18/08/2024 22:46:00,,Rematrícula,,
CL0497,,3º ano,,18/8/2024 22:45:00,,Rematrícula,,
CL0505,10/02/2015,5º ano bilíngue,Mais Cidade Nova,18/08/2024 22:44:00,21/10/2024,Rematrícula,"67,50%",18.879
CL0509,03/12/2018,1º ano,Gutierrez,18/8/2024 22:47:00,16/12/2024,Rematrícula,"62,00%",11.223
CL0512,23/11/2016,3º ano,Castelo Manacás,18/08/2024 22:45:00,16/09/2024,Rematrícula,"40,00%",15.236
CL0513,26/07/2011,8º ano,Mais Pampulha,18/08/2024 22:45:00,09/12/2024,Rematrícula,"20,00%",33.229
CL0516,,9º ano,,18/08/2024 22:45:00,,Rematrícula,,
CL0517,20/08/2013,6º ano,Alípio de Melo,18/08/2024 22:45:00,22/11/2024,Rematrícula,"60,00%",12.713
CL0522,23/10/2015,4º ano,Conceição do Mato Dentro,18/08/2024 22:46:00,22/12/2024,Rematrícula,"12,60%",14.494
CL0523,,4º ano,,18/08/2024 22:44:00,,Rematrícula,,
CL0526,15/5/2007,3ª série,Conceição do Mato Dentro,18/08/2024 22:44:00,09/01/2025,Rematrícula,"50,00%",24.816
CL0527,10/10/2018,1º ano bilíngue,Mais Pampulha,18/08/2024 22:45:00,18/09/2024,Rematrícula,"70,00%",17.262
CL0528,31/7/2021,Infantil 3 bilíngue,Mais Belvedere,18/08/2024 22:46:00,04/10/2024,Rematrícula,"65,00%",17.818
CL0533,24/1/2018,2º ano,Castelo,18/08/2024 22:47:00,26/11/2024,Rematrícula,"65,00%",9.723
CL0538,24/06/2019,Infantil 5,Castelo,18/08/2024 22:45:00,09/10/2024,Rematrícula,"49,50%",12.003
CL0544,1/8/2013,6º ano bilíngue,Carajás,18/8/2024 22:45:00,03/12/2024,Rematrícula,"100,00%",38.376
CL0545,,1º ano bilíngue,,18/08/2024 22:45:00,,Rematrícula,,
CL0547,10/9/2014,5º ano,Nova Suíça,18/08/2024 22:46:00,19/12/2024,Rematrícula,"50,00%",14.489
CL0551,07/04/2017,2º ano,Alípio de Melo,18/08/2024 22:45:00,05/10/2024,Rematrícula,"40,00%",15.236
CL0554,17/02/2009,2ª série,Jardim Canadá,18/08/2024 22:45:00,09/01/2025,Rematrícula,"53,00%",18.205
CL0558,,Infantil 2 bilíngue,,18/08/2024 22:46:00,,Rematrícula,,
CL0563,19/02/2013,7º ano,Ouro Preto,18/08/2024 22:46:00,04/11/2024,Rematrícula,"40,00%",20.833
CL0570,17/09/2017,2º ano bilíngue,Mais Cidade Nova,18/8/2024 22:44:00,08/10/2024,Rematrícula,"70,00%",17.183
CL0571,11/11/2011,8º ano,Alípio de Melo,18/08/2024 22:47:00,04/09/2024,Rematrícula,"50,00%",14.596
CL0573,,1º ano,,18/08/2024 22:45:00,,Rematrícula,,
CL0576,21/03/2017,3º ano,Ouro Preto,18/8/2024 22:47:00,02/10/2024,Rematrícula,"34,00%",19.281
CL0581,21/2/2022,Infantil 3,Conceição do Mato Dentro,18/8/2024 22:46:00,09/12/2024,Rematrícula,"50,00%",8.22
CL0583,09/09/2013,6º ano,Carlos Prates,18/08/2024 22:46:00,01/10/2024,Rematrícula,"12,60%",24.988
CL0586,27/10/2017,2º ano,Gutierrez,18/08/2024 22:46:00,08/10/2024,Rematrícula,"60,00%",11.729
CL0589,28/04/2012,8º ano,Carlos Prates,18/8/2024 22:45:00,05/12/2024,Rematrícula,"40,00%",17.892
CL0590,20/04/2017,2º ano,Castelo Manacás,18/8/2024 22:46:00,02/10/2024,Rematrícula,"55,00%",11.928
CL0593,29/1/2014,6º ano bilíngue,Mais Pampulha,18/08/2024 22:46:00,06/09/2024,Rematrícula,"40,00%",37.396
CL0595,07/12/2015,4º ano,Jaraguá,18/08/2024 22:44:00,21/11/2024,Rematrícula,"33,00%",16.78
CL0597,22/7/2020,Infantil 4,Conceição do Mato Dentro,18/08/2024 22:46:00,13/01/2025,Rematrícula,"50,00%",15.808
CL0598,18/6/2013,7º ano,Ouro Preto,30/10/2024 14:40:00,27/01/2025,Rematrícula,"40,00%",20.933
CL0600,06/10/2009,1ª série,Lagoa Santa,18/08/2024 22:46:00,27/12/2024,Rematrícula,"38,00%",20.445
CL0602,01/02/2021,Infantil 4,Castelo Manacás,18/08/2024 22:45:00,02/12/2024,Rematrícula,"60,00%",9.888
CL0606,25/08/2011,8º ano,Ouro Preto,18/8/2024 22:45:00,30/09/2024,Rematrícula,"40,00%",20.833
CL0610,17/6/2017,2º ano,Ouro Preto,18/08/2024 22:45:00,02/10/2024,Rematrícula,"100,00%",467.0
CL0613,,1º ano,,18/08/2024 22:45:00,,Rematrícula,,
